text,score
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] מלחמת העולם הראשונה הסתיימה בשנת 1918 והשאירה את אירופה במצב שונה לגמרי מזה שהיה לפני המלחמה. האימפריות האוסטרו-הונגרית והעות'מאנית התפרקו, וגרמניה נאלצה לשלם פיצויים כבדים ולאבד שטחים. בנוסף קמו מדינות חדשות והמצב הכלכלי והפוליטי במדינות רבות הפך ללא יציב.",1.0
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] אחרי שהמלחמה הסתיימה ב-1918 התרחשו שינויים גדולים באירופה. גרמניה איבדה שטחים ונדרשה לשלם פיצויים, האימפריות הגדולות התפרקו, ונוצרו מדינות חדשות. היו גם אבדות רבות ומשבר כלכלי שפגע במדינות רבות.",0.9
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] המלחמה הסתיימה בשנת 1918 וגרמה לשינויים משמעותיים במפת אירופה. האימפריות הגדולות התפרקו, וגרמניה נאלצה לשלם פיצויים ולאבד חלק מהשטחים שלה. בנוסף קמו מדינות חדשות באזור.",0.7
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] המלחמה הסתיימה ב-1918 ואחריה גרמניה נאלצה לשלם פיצויים כבדים. בנוסף היו הרבה הרוגים ונזקים במדינות שהשתתפו במלחמה.",0.4
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] מלחמת העולם הראשונה הסתיימה בשנת 1918 והביאה לשינויים באירופה.",0.1
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] המלחמה הסתיימה ב-1918, האימפריות המרכזיות התפרקו וגרמניה נאלצה לשלם פיצויים. נוצרו מדינות חדשות והמשבר הכלכלי גרם לחוסר יציבות פוליטית.",0.9
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] המלחמה נגמרה אחרי ארבע שנים קשות. גרמניה הפסידה שטחים, שילמה פיצויים ואירופה השתנתה עם מדינות חדשות ומצוקה כלכלית.",0.85
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] לאחר סיום מלחמת העולם הראשונה, האימפריות התפרקו, היו אבדות רבות, וגרמניה נאלצה לשלם פיצויים, מה שהוביל לחוסר יציבות פוליטית.",0.8
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] המלחמה הסתיימה ב-1918 והביאה להקמת מדינות חדשות במזרח אירופה. גרמניה שילמה פיצויים והמשבר הכלכלי היה גדול.",0.7
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] המלחמה הסתיימה וכל מפת אירופה השתנתה. היו הרבה הרוגים, גרמניה הפסידה שטחים והוקמו מדינות חדשות.",0.6
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] גרמניה הפסידה שטחים ושילמה פיצויים. המלחמה גרמה לשינויים גדולים במדינות אחרות, אבל אני לא זוכר את כל הפרטים.",0.3
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] המלחמה נגמרה וגרמניה שילמה פיצויים. חלק מהאימפריות התפרקו ונוצרו מדינות חדשות.",0.5
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] המלחמה הסתיימה והביאה חוסר יציבות. היו אבדות רבות וגם משבר כלכלי, והוקמו מדינות חדשות.",0.65
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] המלחמה הסתיימה ב-1918. גרמניה נאלצה לשלם פיצויים, האימפריות המרכזיות התפרקו והוקמו מדינות חדשות. היו גם אבדות רבות.",0.9
"[Q] מה היו תוצאות מלחמת העולם הראשונה? [T] סיום ב-1918, פירוק האימפריה האוסטרו-הונגרית והעות'מאנית, חוזה ורסאי, פיצויים לגרמניה, איבוד שטחים, הקמת מדינות חדשות, משבר כלכלי, אבדות רבות, חוסר יציבות פוליטית ועליית משטרים קיצוניים [S] המלחמה הסתיימה וגרמניה שילמה פיצויים. האימפריות המרכזיות קרסו והוקמו מדינות חדשות במזרח אירופה. הכלכלה נפגעה וחוסר היציבות הפוליטית התגברה.",0.95
"[Q] מה תפקיד השמש בטבע? [T] השמש היא מקור האנרגיה המרכזי של כדור הארץ ומספקת אור וחום שמאפשרים קיום חיים ומניעים תהליכים טבעיים כמו פוטוסינתזה ומחזור המים [S] השמש נותנת אור וחום וזה מאפשר לצמחים ולבעלי חיים לחיות. בלי השמש לא היה שום חיים בכדור הארץ, היא גם גורמת לרוחות ולתופעות מזג האוויר",0.95
"[Q] מה תפקיד השמש בטבע? [T] השמש היא מקור האנרגיה המרכזי של כדור הארץ ומספקת אור וחום שמאפשרים קיום חיים ומניעים תהליכים טבעיים כמו פוטוסינתזה ומחזור המים [S] השמש חמה ומאירה את העולם, וזה גורם לצמחים לגדול ואנחנו מקבלים חמצן ואוכל",0.85
"[Q] מה תפקיד השמש בטבע? [T] השמש היא מקור האנרגיה המרכזי של כדור הארץ ומספקת אור וחום שמאפשרים קיום חיים ומניעים תהליכים טבעיים כמו פוטוסינתזה ומחזור המים [S] השמש מחממת את כדור הארץ ויש אור, והצמחים משתמשים בזה כדי לגדול",0.7
[Q] מה תפקיד השמש בטבע? [T] השמש היא מקור האנרגיה המרכזי של כדור הארץ ומספקת אור וחום שמאפשרים קיום חיים ומניעים תהליכים טבעיים כמו פוטוסינתזה ומחזור המים [S] יש שמש וזה חם,0.3
[Q] מה תפקיד השמש בטבע? [T] השמש היא מקור האנרגיה המרכזי של כדור הארץ ומספקת אור וחום שמאפשרים קיום חיים ומניעים תהליכים טבעיים כמו פוטוסינתזה ומחזור המים [S] השמש כוכב,0.05
"[Q] כיצד השמש משפיעה על מזג האוויר? [T] השמש מחממת את פני כדור הארץ וגורמת להבדלי טמפרטורה שיוצרים תנועת אוויר, רוחות ותהליכים של יצירת עננים וגשם [S] השמש מחממת את פני כדור הארץ וזה גורם לרוחות ולעיתים ליצירת עננים וגשם, וזה שונה ממקום למקום",0.92
"[Q] כיצד השמש משפיעה על מזג האוויר? [T] השמש מחממת את פני כדור הארץ וגורמת להבדלי טמפרטורה שיוצרים תנועת אוויר, רוחות ותהליכים של יצירת עננים וגשם [S] כשיש שמש חמה האוויר נע, יש רוחות ולעיתים נוצרים עננים וגשם",0.8
"[Q] כיצד השמש משפיעה על מזג האוויר? [T] השמש מחממת את פני כדור הארץ וגורמת להבדלי טמפרטורה שיוצרים תנועת אוויר, רוחות ותהליכים של יצירת עננים וגשם [S] השמש מחממת ולכן יש מזג אוויר",0.5
