0,1,2,dictabert_score
text,score,model_score,0.36476820707321167
[Q] מה גורם ליום ולילה? [T] סיבוב כדור הארץ סביב עצמו [S] כדור הארץ מסתובב סביב עצמו,1.0,0.9,0.9843713045120239
[Q] מה גורם ליום ולילה? [T] סיבוב כדור הארץ סביב עצמו [S] השמש זזה,0.2,0.0,0.04134140908718109
[Q] מהי מערכת השמש? [T] השמש וכוכבי הלכת שמקיפים אותה [S] השמש וכוכבים,0.6,0.83,0.17139878869056702
[Q] מהי מערכת השמש? [T] השמש וכוכבי הלכת שמקיפים אותה [S] השמש וכוכבי הלכת,1.0,1.0,0.4870196580886841
[Q] מהי פוטוסינתזה? [T] תהליך שבו צמחים משתמשים באור שמש ליצירת אנרגיה [S] צמחים משתמשים באור כדי לגדול,0.8,0.81,0.3850651681423187
[Q] מהי פוטוסינתזה? [T] תהליך שבו צמחים משתמשים באור שמש ליצירת אנרגיה [S] תהליך בצמחים,0.4,0.89,0.14511437714099884
[Q] מי היה דוד בן גוריון? [T] ראש הממשלה הראשון של ישראל [S] ראש הממשלה הראשון של ישראל,1.0,1.0,0.8237895965576172
[Q] מי היה דוד בן גוריון? [T] ראש הממשלה הראשון של ישראל [S] מנהיג ישראל,0.7,0.62,0.6748308539390564
[Q] מהו נהר? [T] זרם מים טבעי [S] מים זורמים בטבע,1.0,0.93,0.5590612888336182
[Q] מהו נהר? [T] זרם מים טבעי [S] גוף מים גדול,0.5,0.29,0.2265545278787613
[Q] מהי אנרגיה? [T] יכולת לבצע עבודה או לגרום לשינוי [S] כוח שמניע דברים,0.8,0.16,0.32577693462371826
[Q] מהי אנרגיה? [T] יכולת לבצע עבודה או לגרום לשינוי [S] משהו שקשור לחשמל,0.6,0.16,0.2945781350135803
[Q] מהי מערכת העיכול? [T] מערכת שמפרקת מזון בגוף [S] מערכת שמפרקת אוכל,0.9,0.92,0.5208731293678284
[Q] מהי מערכת העיכול? [T] מערכת שמפרקת מזון בגוף [S] מערכת בגוף,0.4,0.18,0.191170334815979
[Q] מה גורם ליום ולילה? [T] סיבוב כדור הארץ סביב עצמו יוצר מצב שבו חלק מהכדור פונה לשמש וחלק נמצא בצל. [S] כדור הארץ מסתובב סביב עצמו ולכן יש יום ולילה. הצד שפונה לשמש מואר והצד השני חשוך.,1.0,0.9,0.981498122215271
[Q] מה גורם ליום ולילה? [T] סיבוב כדור הארץ סביב עצמו יוצר מצב שבו חלק מהכדור פונה לשמש וחלק נמצא בצל. [S] השמש זזה בשמיים ויוצרת יום ולילה.,0.2,0.34,0.21364611387252808
[Q] מהי מערכת השמש? [T] מערכת השמש כוללת את השמש וכוכבי הלכת שמקיפים אותה במסלולים קבועים. [S] יש שמש וכוכבים בחלל והם קשורים זה לזה.,0.6,0.53,0.33821454644203186
[Q] מהי מערכת השמש? [T] מערכת השמש כוללת את השמש וכוכבי הלכת שמקיפים אותה במסלולים קבועים. [S] השמש היא מרכז ויש כוכבי לכת שמסתובבים סביבו בצורה מסודרת.,1.0,0.53,0.9457365870475769
"[Q] מהי פוטוסינתזה? [T] פוטוסינתזה היא תהליך שבו צמחים משתמשים באור שמש, מים ופחמן דו-חמצני כדי לייצר מזון ואנרגיה. [S] צמחים משתמשים באור שמש כדי לגדול וליצור מזון.",0.8,0.69,0.9163410067558289
"[Q] מהי פוטוסינתזה? [T] פוטוסינתזה היא תהליך שבו צמחים משתמשים באור שמש, מים ופחמן דו-חמצני כדי לייצר מזון ואנרגיה. [S] צמחים עושים תהליך עם אור.",0.4,0.55,0.18921372294425964
[Q] מהי אנרגיה? [T] אנרגיה היא היכולת לבצע עבודה או לגרום לשינוי במצב של גוף או מערכת. [S] אנרגיה היא כוח שמניע דברים כמו מכונות ותנועות.,0.8,0.7,0.1425451636314392
[Q] מהי אנרגיה? [T] אנרגיה היא היכולת לבצע עבודה או לגרום לשינוי במצב של גוף או מערכת. [S] אנרגיה קשורה לחשמל ולכוח.,0.6,0.65,0.15452826023101807
[Q] מי היה דוד בן גוריון? [T] דוד בן גוריון היה ראש הממשלה הראשון של מדינת ישראל והיה ממנהיגי הקמת המדינה. [S] הוא היה ראש ממשלה ראשון של ישראל והיה מנהיג חשוב בהקמת המדינה.,1.0,0.63,0.9908556342124939
[Q] מי היה דוד בן גוריון? [T] דוד בן גוריון היה ראש הממשלה הראשון של מדינת ישראל והיה ממנהיגי הקמת המדינה. [S] הוא היה אדם חשוב בישראל.,0.4,0.37,0.6722702980041504
